[16:04:07.084] Created Window
[16:04:07.112] Setup Shaders
[16:04:07.461] Setup Player
[16:04:07.707] Setup Scene Graph
[16:04:07.775] Entering Render Loop
[16:04:13.504] Vector3f[-67.5, -28.700071, 0.0]
[16:04:13.521] Vector3f[-67.5, -28.800072, 0.0]
[16:04:13.538] Vector3f[-67.5, -28.900072, 0.0]
[16:04:13.555] Vector3f[-67.5, -29.000072, 0.0]
[16:04:13.573] Vector3f[-67.5, -29.100073, 0.0]
[16:04:13.590] Vector3f[-67.5, -29.200073, 0.0]
[16:04:13.607] Vector3f[-67.5, -29.300074, 0.0]
[16:04:13.623] Vector3f[-67.5, -29.400074, 0.0]
[16:04:13.640] Vector3f[-67.5, -29.500074, 0.0]
[16:04:13.656] Vector3f[-67.5, -29.600075, 0.0]
[16:04:13.674] Vector3f[-67.5, -29.700075, 0.0]
[16:04:13.692] Vector3f[-67.5, -29.800076, 0.0]
[16:04:13.708] Vector3f[-67.5, -29.900076, 0.0]
[16:04:13.725] Vector3f[-67.5, -30.000076, 0.0]
[16:04:13.742] Vector3f[-67.5, -30.100077, 0.0]
[16:04:13.759] Vector3f[-67.5, -30.200077, 0.0]
[16:04:13.776] Vector3f[-67.5, -30.300077, 0.0]
[16:04:13.794] Vector3f[-67.5, -30.400078, 0.0]
[16:04:13.810] Vector3f[-67.5, -30.500078, 0.0]
[16:04:13.827] Vector3f[-67.5, -30.600079, 0.0]
[16:04:13.845] Vector3f[-67.5, -30.700079, 0.0]
[16:04:13.862] Vector3f[-67.5, -30.80008, 0.0]
[16:04:13.879] Vector3f[-67.5, -30.90008, 0.0]
[16:04:13.895] Vector3f[-67.5, -31.00008, 0.0]
[16:04:13.912] Vector3f[-67.5, -31.10008, 0.0]
[16:04:13.930] Vector3f[-67.5, -31.20008, 0.0]
[16:04:13.947] Vector3f[-67.5, -31.300081, 0.0]
[16:04:13.963] Vector3f[-67.5, -31.400082, 0.0]
[16:04:13.981] Vector3f[-67.5, -31.500082, 0.0]
[16:04:13.997] Vector3f[-67.5, -31.600082, 0.0]
[16:04:14.014] Vector3f[-67.5, -31.700083, 0.0]
[16:04:14.031] Vector3f[-67.5, -31.800083, 0.0]
[16:04:14.048] Vector3f[-67.5, -31.900084, 0.0]
[16:04:14.065] Vector3f[-67.5, -32.000084, 0.0]
[16:04:14.083] Vector3f[-67.5, -32.100082, 0.0]
[16:04:14.099] Vector3f[-67.5, -32.20008, 0.0]
[16:04:14.116] Vector3f[-67.5, -32.30008, 0.0]
[16:04:14.133] Vector3f[-67.5, -32.400078, 0.0]
[16:04:14.151] Vector3f[-67.5, -32.500076, 0.0]
[16:04:14.167] Vector3f[-67.5, -32.600075, 0.0]
[16:04:14.184] Vector3f[-67.5, -32.700073, 0.0]
[16:04:14.202] Vector3f[-67.5, -32.80007, 0.0]
[16:04:14.218] Vector3f[-67.5, -32.90007, 0.0]
[16:04:14.235] Vector3f[-67.5, -33.00007, 0.0]
[16:04:14.253] Vector3f[-67.5, -33.100067, 0.0]
[16:04:14.269] Vector3f[-67.5, -33.200066, 0.0]
[16:04:14.286] Vector3f[-67.5, -33.300064, 0.0]
[16:04:14.303] Vector3f[-67.5, -33.400063, 0.0]
[16:04:14.320] Vector3f[-67.5, -33.50006, 0.0]
[16:04:14.338] Vector3f[-67.5, -33.60006, 0.0]
[16:04:14.354] Vector3f[-67.5, -33.700058, 0.0]
[16:04:14.371] Vector3f[-67.5, -33.800056, 0.0]
[16:04:14.388] Vector3f[-67.5, -33.900055, 0.0]
[16:04:14.405] Vector3f[-67.5, -34.000053, 0.0]
[16:04:14.422] Vector3f[-67.5, -34.10005, 0.0]
[16:04:14.439] Vector3f[-67.5, -34.20005, 0.0]
[16:04:14.456] Vector3f[-67.5, -34.30005, 0.0]
[16:04:14.474] Vector3f[-67.5, -34.400047, 0.0]
[16:04:14.491] Vector3f[-67.5, -34.500046, 0.0]
[16:04:14.508] Vector3f[-67.5, -34.600044, 0.0]
[16:04:14.524] Vector3f[-67.5, -34.700043, 0.0]
[16:04:14.541] Vector3f[-67.5, -34.80004, 0.0]
[16:04:14.558] Vector3f[-67.5, -34.90004, 0.0]
[16:04:14.576] Vector3f[-67.5, -35.00004, 0.0]
[16:04:14.592] Vector3f[-67.5, -35.100037, 0.0]
[16:04:14.609] Vector3f[-67.5, -35.200035, 0.0]
[16:04:14.625] Vector3f[-67.5, -35.300034, 0.0]
[16:04:14.643] Vector3f[-67.5, -35.400032, 0.0]
[16:04:14.660] Vector3f[-67.5, -35.50003, 0.0]
[16:04:14.677] Vector3f[-67.5, -35.60003, 0.0]
[16:04:14.694] Vector3f[-67.5, -35.700027, 0.0]
[16:04:14.711] Vector3f[-67.5, -35.800026, 0.0]
[16:04:14.728] Vector3f[-67.5, -35.900024, 0.0]
[16:04:14.745] Vector3f[-67.5, -36.000023, 0.0]
[16:04:14.762] Vector3f[-67.5, -36.10002, 0.0]
[16:04:14.779] Vector3f[-67.5, -36.20002, 0.0]
[16:04:14.796] Vector3f[-67.5, -36.30002, 0.0]
[16:04:14.813] Vector3f[-67.5, -36.400017, 0.0]
[16:04:14.830] Vector3f[-67.5, -36.500015, 0.0]
[16:04:14.848] Vector3f[-67.5, -36.600014, 0.0]
[16:04:14.865] Vector3f[-67.5, -36.700012, 0.0]
